0.04989624,
0.05187988,
0.05438232,
0.05679321,
0.05819702,
0.05935669,
0.06015015,
0.06051636,
0.06057739,
0.06201172,
0.06329346,
0.06454468,
0.06619263,
0.06863403,
0.0708313,
0.07168579,
0.0710144,
0.07058716,
0.06906128,
0.0670166,
0.06524658,
0.0619812,
0.05899048,
0.05661011,
0.05413818,
0.05136108,
0.04833984,
0.04580688,
0.04330444,
0.04013062,
0.03656006,
0.03231812,
0.02786255,
0.02340698,
0.01947021,
0.01593018,
0.01196289,
0.008453369,
0.005249023,
0.001708984,
-0.00100708,
-0.004516602,
-0.008361816,
-0.01248169,
-0.01596069,
-0.02008057,
-0.02383423,
-0.02722168,
-0.02999878,
-0.03231812,
-0.0335083,
-0.03390503,
-0.03439331,
-0.03488159,
-0.03540039,
-0.03582764,
-0.03656006,
-0.03744507,
-0.03817749,
-0.03930664,
-0.03979492,
-0.0401001,
-0.04067993,
-0.04107666,
-0.04077148,
-0.04034424,
-0.04022217,
-0.03982544,
-0.03952026,
-0.03979492,
-0.03994751,
-0.03970337,
-0.04000854,
-0.04003906,
-0.04019165,
-0.03890991,
-0.03799438,
-0.03668213,
-0.03482056,
-0.03347778,
-0.03146362,
-0.0279541,
-0.02514648,
-0.02249146,
-0.01898193,
-0.01461792,
-0.01071167,
-0.007415771,
-0.003326416,
0.001373291,
0.006195068,
0.01174927,
0.01672363,
0.02087402,
0.02536011,
0.03051758,
0.034729,
0.03833008,
0.04156494,
0.04534912,
0.04846191,
0.05047607,
0.05169678,
0.05209351,
0.05142212,
0.05038452,
0.04888916,
0.04638672,
0.04345703,
0.04064941,
0.03768921,
0.03390503,
0.03045654,
0.02731323,
0.02410889,
0.0211792,
0.01858521,
0.01672363,
0.01495361,
0.01345825,
0.01190186,
0.00994873,
0.008850098,
0.009124756,
0.009277344,
0.009216309,
0.008789063,
0.008911133,
0.00958252,
0.009399414,
0.01037598,
0.01101685,
0.01300049,
0.01531982,
0.01742554,
0.01925659,
0.0211792,
0.02340698,
0.02523804,
0.02670288,
0.02719116,
0.02767944,
0.02804565,
0.02844238,
0.02786255,
0.02658081,
0.02508545,
0.02383423,
0.0227356,
0.02127075,
0.0189209,
0.01626587,
0.01397705,
0.01104736,
0.008300781,
0.004974365,
0.002288818,
0.0003967285,
-0.001983643,
-0.004638672,
-0.00692749,
-0.009155273,
-0.01080322,
-0.01220703,
-0.01379395,
-0.01553345,
-0.01681519,
-0.0178833,
-0.01889038,
-0.02001953,
-0.02124023,
-0.0223999,
-0.02374268,
-0.02523804,
-0.02703857,
-0.02828979,
-0.02957153,
-0.03024292,
-0.03118896,
-0.03204346,
-0.0322876,
-0.03225708,
-0.03274536,
-0.03335571,
-0.03375244,
-0.03491211,
-0.03616333,
-0.03735352,
-0.03945923,
-0.04119873,
-0.04330444,
-0.04589844,
-0.04879761,
-0.05111694,
-0.05377197,
-0.05639648,
-0.0581665,
-0.06060791,
-0.06256104,
-0.06338501,
-0.06515503,
-0.06652832,
-0.06744385,
-0.06900024,
-0.06976318,
-0.07046509,
-0.07189941,
-0.07409668,
-0.07641602,
-0.07861328,
-0.08093262,
-0.08361816,
-0.08630371,
-0.08932495,
-0.09179688,
-0.09362793,
-0.09570313,
-0.09729004,
-0.09817505,
-0.09896851,
-0.09844971,
-0.09835815,
-0.09927368,
-0.09945679,
-0.09933472,
-0.09909058,
-0.09945679,
-0.09979248,
-0.1008911,
-0.1018066,
-0.1012573,
-0.1021118,
-0.1040039,
-0.1052246,
-0.1070557,
-0.1081848,
-0.1061707,
-0.1021729,
-0.09594727,
-0.08847046,
-0.07989502,
-0.06756592,
-0.0541687,
-0.03829956,
-0.02099609,
-0.004699707,
0.01217651,
0.02960205,
0.04653931,
0.0602417,
0.07397461,
0.08731079,
0.0994873,
0.1117554,
0.1245728,
0.1343384,
0.1436768,
0.1534424,
0.1600342,
0.164093,
0.1686401,
0.1740112,
0.1784668,
0.1835632,
0.1876831,
0.1894836,
0.1894531,
0.1888428,
0.1857605,
0.1804504,
0.1742554,
0.1660461,
0.1555786,
0.1428528,
0.1281738,
0.1127014,
0.09725952,
0.08206177,
0.06942749,
0.05905151,
0.04907227,
0.03961182,
0.03137207,
0.02340698,
0.015625,
0.01019287,
0.004852295,
-9.155273E-05,
-0.002441406,
-0.002441406,
-0.003692627,
-0.005126953,
-0.00604248,
-0.006591797,
-0.008239746,
-0.00881958,
-0.009399414,
-0.01287842,
-0.01544189,
-0.01760864,
-0.02020264,
-0.02310181,
-0.02362061,
-0.02316284,
-0.02151489,
-0.01882935,
-0.01541138,
-0.01370239,
-0.01361084,
-0.01367188,
-0.01419067,
-0.01623535,
-0.01852417,
-0.01928711,
-0.02163696,
-0.02362061,
-0.02529907,
-0.02706909,
-0.03018188,
-0.0322876,
-0.03302002,
-0.034729,
-0.03469849,
-0.03381348,
-0.03207397,
-0.03088379,
-0.02792358,
-0.02352905,
-0.01922607,
-0.01367188,
-0.006652832,
-0.000579834,
0.004119873,
0.008453369,
0.00982666,
0.009643555,
0.008972168,
0.008209229,
0.007202148,
0.005706787,
0.00491333,
0.003997803,
0.003234863,
0.00213623,
0.001159668,
-3.051758E-05,
-0.001739502,
-0.003509521,
-0.005706787,
-0.008514404,
-0.01132202,
-0.01431274,
-0.01748657,
-0.02035522,
-0.02258301,
-0.02484131,
-0.02832031,
-0.03140259,
-0.03460693,
-0.03961182,
-0.0447998,
-0.0491333,
-0.05343628,
-0.05682373,
-0.05831909,
-0.05767822,
-0.05673218,
-0.05487061,
-0.05123901,
-0.04779053,
-0.04476929,
-0.04153442,
-0.03887939,
-0.03707886,
-0.03466797,
-0.03213501,
-0.03018188,
-0.02844238,
-0.02615356,
-0.02331543,
-0.02078247,
-0.01806641,
-0.01541138,
-0.01358032,
-0.01245117,
-0.01080322,
-0.009521484,
-0.007293701,
-0.004272461,
-0.0007629395,
0.003265381,
0.008087158,
0.01278687,
0.01715088,
0.02087402,
0.02453613,
0.02816772,
0.03115845,
0.03363037,
0.0362854,
0.03820801,
0.0402832,
0.04269409,
0.04516602,
0.04827881,
0.05136108,
0.05557251,
0.05957031,
0.06359863,
0.0668335,
0.06973267,
0.07254028,
0.07513428,
0.07739258,
0.07928467,
0.08096313,
0.08297729,
0.08407593,
0.08428955,
0.08319092,
0.0819397,
0.0791626,
0.07620239,
0.07275391,
0.06869507,
0.06478882,
0.06121826,
0.05731201,
0.05297852,
0.04946899,
0.04605103,
0.04263306,
0.03945923,
0.03610229,
0.03155518,
0.0267334,
0.02163696,
0.01559448,
0.01046753,
0.004852295,
-0.0003967285,
-0.00604248,
-0.01135254,
-0.01669312,
-0.02206421,
-0.02639771,
-0.03097534,
-0.03500366,
-0.03775024,
-0.04016113,
-0.04266357,
-0.0440979,
-0.04507446,
-0.04614258,
-0.04681396,
-0.04690552,
-0.04736328,
-0.04772949,
-0.04782104,
-0.04821777,
-0.04922485,
-0.04974365,
-0.05010986,
-0.05062866,
-0.05050659,
-0.04989624,
-0.04916382,
-0.04846191,
-0.04660034,
-0.04470825,
-0.04260254,
-0.0401001,
-0.03811646,
-0.03582764,
-0.03399658,
-0.03253174,
-0.03076172,
-0.02902222,
-0.02664185,
-0.02423096,
-0.0211792,
-0.01803589,
-0.01409912,
-0.009460449,
-0.005065918,
-0.001373291,
0.002685547,
0.00793457,
0.01358032,
0.0184021,
0.02362061,
0.02862549,
0.03356934,
0.03863525,
0.04269409,
0.04577637,
0.04919434,
0.05270386,
0.05532837,
0.05654907,
0.05685425,
0.05599976,
0.05462646,
0.05291748,
0.05014038,
0.04763794,
0.0456543,
0.04391479,
0.04129028,
0.03787231,
0.03451538,
0.03079224,
